Timestep,Probs
1,"[0.2, 0.2, 0.2, 0.2, 0.2]"
2,"[0.25316452978342685, 0.25316452978342685, 1.0224329874670731e-7, 0.24050630840642045, 0.25316452978342685]"
3,"[0.00016331192984565387, 0.4116606522446897, 3.64394095511058e-12, 0.5880046034092766, 0.0001714324125451615]"
4,"[5.027289804630001e-6, 0.4022971362726319, 3.857620647961438e-11, 0.5976928091091834, 5.027289804630001e-6]"
5,"[1.7877165201580048e-13, 8.484286803449758e-5, 3.7999426988260924e-21, 0.999915155905593, 1.2261947611764076e-9]"
6,"[1.5347791516676342e-27, 2.0438355095353068e-9, 3.262302924389054e-35, 0.9999999979559867, 1.7878682072935816e-13]"
7,"[8.795613196859949e-42, 2.286493126183276e-18, 5.3209389588744544e-48, 1.0000000000000009, 2.6066018529642047e-17]"
8,"[7.540072117166772e-56, 1.965566139683863e-32, 4.567711505838238e-62, 1.0000000000000009, 5.5405527488457455e-25]"
9,"[6.472704813203508e-69, 3.8451369881804895e-44, 2.6894895345641805e-72, 1.0000000000000009, 4.251465802783703e-30]"
