Timestep,Probs
1,"[0.20000000000000015, 0.20000000000000015, 0.20000000000000015, 0.20000000000000015, 0.20000000000000015]"
2,"[0.24936580377078027, 0.2518741803819919, 0.2518741803819919, 0.2468374645663971, 4.837089883879223e-5]"
3,"[0.06466388247860243, 0.059220521208407366, 0.06488130632391692, 0.811234054011488, 2.359775827589178e-7]"
4,"[0.00550773359441377, 0.005114326193437784, 0.005901111014639797, 0.9834717924315182, 5.036765993291164e-6]"
5,"[0.0004912021400689037, 4.678115707032234e-5, 0.0005093948081196718, 0.9989526218404077, 5.433765309061072e-11]"
6,"[0.0008316386497425657, 9.230301556184371e-5, 0.0009136745214804267, 0.9981623556802115, 2.813301499926691e-8]"
7,"[0.000830825903526302, 1.0257106059967695e-5, 0.0009139079779752037, 0.9982450089841225, 2.8307474816342924e-11]"
8,"[0.0001085557250549348, 1.340194061760328e-6, 0.00011941129007064627, 0.999770692790776, 4.012759120769077e-14]"
9,"[1.0256017977393524e-6, 4.68952934624698e-10, 4.178370618386238e-8, 0.999998932145556, 5.325977733636634e-18]"
10,"[1.1459328038147459e-5, 3.437798411444231e-5, 4.518014638696174e-7, 0.9999502607661245, 3.4501202695497925e-6]"
11,"[1.6890002544760737e-5, 0.0004154940626011099, 5.630000848253571e-6, 0.999557857266726, 4.128667288719298e-6]"
12,"[5.959813040511374e-7, 5.006242954029535e-6, 6.622014489457116e-8, 0.9999942914965069, 4.0059099997951014e-8]"
13,"[2.2420146910088948e-5, 8.968058764035526e-5, 9.964509737817299e-6, 0.9998314337102678, 4.650104544314718e-5]"
14,"[9.365406961619466e-6, 4.162403094053105e-6, 4.6248923267256944e-7, 0.9999665851529339, 1.9424547772247733e-5]"
15,"[5.19588259275944e-7, 1.8705177333933787e-5, 2.565867947041699e-8, 0.9999793640070532, 1.385568691402509e-6]"
16,"[1.5726371999758042e-5, 0.0050953445279215285, 6.989498666559122e-6, 0.9948679606040771, 1.397899733311812e-5]"
17,"[3.830476898675746e-6, 0.033509011909614556, 6.305311767367497e-8, 0.9664867792947847, 3.1526558836837106e-7]"
18,"[0.00040325447786682497, 0.008065089557336478, 1.9913801376139646e-5, 0.9915073168742288, 4.4252891946977275e-6]"
19,"[1.952322912149971e-5, 0.8539460417743755, 3.2137002669135397e-7, 0.14603411142229167, 2.2041839965113953e-9]"
