Timestep,Probs
1,"[0.2, 0.2, 0.2, 0.2, 0.2]"
2,"[0.20202020119607977, 0.20202020119607977, 0.19191919521568054, 0.20202020119607977, 0.20202020119607977]"
3,"[3.836636773511294e-6, 3.836636773511294e-6, 3.644804938913277e-6, 0.4999943409607574, 0.4999943409607574]"
4,"[2.3779525648159675e-17, 5.888045967788505e-11, 2.2590549391024388e-17, 1.118728733879747e-9, 0.9999999988223917]"
5,"[1.4757007167688702e-13, 2.6776589505772036e-10, 1.4757007167688702e-13, 1.9231479311004262e-8, 0.9999999805004607]"
6,"[1.2668018420610612e-27, 4.1387682981978957e-23, 3.509146376900486e-30, 2.151480894510015e-17, 0.9999999999999986]"
7,"[5.7235499166811956e-43, 6.732717938843395e-36, 8.344583637091954e-47, 4.573154649840738e-25, 0.9999999999999986]"
