goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,reward_score,user_id
0,0,1,0,0,1,4.39,1.98,1607115046520
0,0,1,0,0,1,12.43,1.2,1607115097420
0,0,1,0,0,1,6.18,2.53,1607115486517
0.5,0,0.5,0,0,0.5,4.29,1.53,1607115775262
0,0.09,0.91,0,0,0.91,57.69,2.1,1607116335649
0.47,0,0.53,0,0,0.53,7.54,1.26,1607116558958
0.15,0.24,0.3,0.15,0.15,0.3,7.16,1.0,1607117492816
0,0,1,0,0,1,7.28,2.15,1607118182890
0,0,0.91,0.09,0,0.91,4.55,2.11,1607121550937
0.22,0.16,0.31,0.16,0.16,0.31,4.38,1.16,1607126650608
