goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,reward_score,user_id
0,0,0,1,0,1,3.76,3.2,1607115035927
0,0,0,0.5,0.5,0.5,10.46,1.17,1607115070015
0,0,0.5,0.4,0.1,0.4,7.42,0.8,1607115177638
0,0,0,1,0,1,25.58,1.53,1607115376410
0.05,0.05,0.05,0.42,0.42,0.42,4.7,1.24,1607115664898
0.09,0.04,0.22,0.43,0.22,0.43,4.1,1.42,1607116125693
0.21,0.21,0.21,0.17,0.21,0.17,4.72,0.76,1607116510666
0.19,0.21,0.19,0.21,0.19,0.21,9.23,0.86,1607117172687
0.27,0.27,0.15,0.15,0.15,0.15,10.68,0.75,1607117907163
0.25,0.25,0,0.25,0.25,0.25,20.73,0.72,1607118786567
0,0,0,0.47,0.53,0.47,12.39,1.13,1607120613621
0,0,0,0.91,0.09,0.91,6.44,2.26,1607123074097
