goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,reward_score,user_id
0,0,0,1,0,1,3.53,4.2,1607115035927
0,0,0,0.5,0.5,0.5,5.77,1.67,1607115070015
0,0,0.14,0.71,0.14,0.71,5.52,1.51,1607115177638
0,0,0,1,0,1,4.82,2.53,1607115376410
0.05,0.05,0.05,0.45,0.4,0.45,6.72,1.69,1607115664898
0.09,0.04,0.22,0.43,0.22,0.43,6.01,1.86,1607116125693
0.23,0.19,0.19,0.19,0.19,0.19,7.42,0.95,1607116510666
0.19,0.21,0.19,0.21,0.19,0.21,9.16,1.07,1607117172687
0.24,0.24,0.13,0.26,0.13,0.26,9.98,1.01,1607117907163
0.33,0.33,0,0.33,0,0.33,21.72,1.05,1607118786567
0,0.04,0.13,0.43,0.39,0.43,20.6,1.57,1607120613621
0,0,0,1,0,1,4.05,3.26,1607123074097
