goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,reward_score,user_id
0,0,0,0,1,0,28.89,0,1607115035927
0.17,0.31,0.17,0.17,0.17,0.17,9.86,0.37,1607115070015
0.05,0.16,0.53,0.21,0.05,0.53,9.25,1.05,1607115177638
0,1,0,0,0,0,21.96,0.25,1607115376410
0.11,0.56,0.11,0.11,0.11,0.11,22.38,0.31,1607115664898
0.11,0.36,0.18,0.18,0.18,0.18,20.64,0.38,1607116125693
0.2,0.2,0.2,0.2,0.2,0.2,9.16,0.39,1607116510666
0.2,0.2,0.2,0.22,0.2,0.2,4.95,0.39,1607117172687
0.2,0.2,0.2,0.2,0.2,0.2,2.97,0.4,1607117907163
0,1,0,0,0,0,20.25,0.2,1607118786567
0.15,0.45,0.05,0.2,0.15,0.05,27.18,0.16,1607120613621
0,0.56,0.44,0,0,0.44,40.24,0.81,1607123074097
