goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,timestep
0.2525,0.195,0.1725,0.2175,0.1625,0.2175,11.31,1
0.175,0.155,0.3625,0.235,0.0725,0.235,14.115,2
0.03,0.03,0.045,0.8825,0.015,0.8825,17.77,3
0.0,0.0,0.0,1.0,0.0,1.0,6.365,4
