goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,timestep
0.1288,0.1813,0.2325,0.1737,0.2837,0.2325,22.2138,1
0.0525,0.5112,0.1638,0.0875,0.1862,0.1638,23.8488,2
0.04,0.5075,0.305,0.0775,0.0725,0.305,11.015,3
0.0425,0.1487,0.6188,0.0825,0.1075,0.6188,14.53,4
0.0325,0.0338,0.71,0.0725,0.1525,0.71,13.6062,5
