goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,reward_score,user_id
0.2,0.2,0.2,0.2,0.2,0.2,3.95,1,1607114805281
0,0.06,0.06,0.56,0.31,0.56,13.71,2.05,1607115041322
0.29,0.03,0.21,0.26,0.21,0.26,4.64,0.97,1607115408614
0.23,0.23,0.23,0.16,0.16,0.16,11.58,0.96,1607115756133
0.14,0.2,0.2,0.26,0.2,0.26,9.54,1.21,1607115854486
0.15,0.21,0.21,0.29,0.15,0.29,28.74,1.3,1607116319376
0.2,0.2,0.2,0.2,0.2,0.2,16.49,0.6,1607116360089
0.27,0.23,0.19,0.23,0.08,0.23,10.69,1.03,1607116556585
0.2,0.2,0.2,0.2,0.2,0.2,3.55,1,1607118085484
0.15,0.38,0.38,0,0.08,0,9.12,0.65,1607118666465
0.2,0.2,0.2,0.2,0.2,0.2,5.63,1,1607129901627
