goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,reward_score,user_id
0,0,1,0,0,0,22.12,0.91,1607115035927
0.2,0.2,0.2,0.2,0.2,0.2,5.38,0.4,1607115070015
0.23,0.06,0.2,0.26,0.26,0.26,5.5,0.55,1607115177638
0.2,0.2,0.2,0.2,0.2,0.2,14.18,0.4,1607115376410
0.2,0.2,0.2,0.2,0.2,0.2,9.74,0.4,1607115664898
0.17,0.17,0.17,0.17,0.33,0.33,14.68,0.53,1607116125693
0.21,0.21,0.18,0.21,0.18,0.18,3.75,0.36,1607116510666
0.19,0.19,0.21,0.19,0.21,0.21,2.96,0.43,1607117172687
0.2,0.2,0.2,0.2,0.2,0.2,2.76,0.4,1607117907163
0.24,0.24,0.05,0.24,0.24,0.24,16.85,0.44,1607118786567
0.15,0.08,0.38,0.15,0.23,0.23,22.35,0.38,1607120613621
0,0,0.07,0.47,0.47,0.47,31.64,0.97,1607123074097
