goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,reward_score,user_id
0.12,0.12,0.36,0.2,0.2,0.36,12.32,1.13,1607115046520
0.2,0.2,0.2,0.2,0.2,0.2,4.8,0.8,1607115097420
0,0,1,0,0,1,10.72,1.2,1607115486517
0.2,0.2,0.2,0.2,0.2,0.2,4.29,0.8,1607115775262
1,0,0,0,0,0,19.33,0.6,1607116335649
0.23,0.23,0.13,0.21,0.21,0.13,14.53,0.61,1607116558958
0.26,0.16,0.16,0.26,0.16,0.16,13.56,0.7,1607117492816
0.25,0.25,0,0.25,0.25,0,14.15,0.2,1607118182890
0.31,0.31,0.19,0.12,0.06,0.19,7.61,0.76,1607121550937
0.28,0.14,0.14,0.17,0.28,0.14,10.71,0.6,1607126650608
