goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,reward_score,user_id
0,1,0,0,0,1,10.18,1.2,1607115037759
0,1,0,0,0,1,6.18,2.2,1607115069598
0.5,0.5,0,0,0,0.5,7.18,3,1607115201867
0.5,0.5,0,0,0,0.5,15.24,3.2,1607115406142
0.58,0.42,0,0,0,0.42,4.25,2.68,1607115665561
0.47,0.53,0,0,0,0.53,6.26,3.01,1607116491165
0.19,0.21,0.19,0.21,0.19,0.21,0.91,1.5,1607117440250
0.25,0.25,0.19,0.09,0.22,0.25,9.19,1.51,1607118854103
0,1,0,0,0,1,4.51,4.76,1607124046234
