goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,timestep
0.2143,0.1914,0.1914,0.2114,0.1914,0.1914,8.3629,1
0.4329,0.2729,0.2029,0.0543,0.0357,0.2029,15.5729,2
0.2957,0.0229,0.6471,0.0229,0.01,0.6471,10.3386,3
0.0714,0.0129,0.9029,0.0129,0.0,0.9029,13.83,4
