goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,timestep
0.1588,0.145,0.2938,0.21,0.1913,0.21,18.4287,1
0.0938,0.12,0.3862,0.2775,0.1213,0.2775,17.395,2
0.06,0.0612,0.22,0.4413,0.2175,0.4413,16.0562,3
0.0488,0.0425,0.0963,0.61,0.2013,0.61,10.64,4
0.0588,0.0575,0.0675,0.6688,0.1437,0.6688,9.1212,5
