"counter__count","results__|","results__|__goal_probs_0","results__|__goal_probs_1","results__|__goal_probs_2","results__|__goal_probs_3","results__|__goal_probs_4","results__|__reward_score","results__|__time_spent","results__|__timestep","results__|__true_goal_probs","results__a"
"","","0.391304347826087","0.391304347826087","0.21739130434782608","0","0","1.431977559607293","0","4","0.391304347826087",""
"","","0.5","0.5","0","0","0","1.931977559607293","0","5","0.5",""
"","","0.5","0.5","0","0","0","2.431977559607293","0","6","0.5",""
"","","1","0","0","0","0","3.431977559607293","0","7","1",""
"","","0","0","0","0","1","0","21.811","1","0",""
"","","0","0","0","0","1","0","28.888","2","0",""
"","","0","0","1","0","0","1","9.556","3","1",""
"","","0","0","1","0","0","2","4.828","4","1",""
"","","0","0","1","0","0","3","3.797","5","1",""
"","1607115035927_problem_2_2","0","0","0","0.09090909090909091","0.9090909090909091","0.9090909090909091","25.87","1","0.9090909090909091",""
"","","0","0","1","0","0","0.9090909090909091","22.12","2","0",""
"","","0","0","1","0","0","0.9090909090909091","13.56","3","0",""
"","","0","0","0","1","0","0.9090909090909091","15.052","4","0",""
"","","0","0","1","0","0","0.9090909090909091","14.711","5","0",""
"","","0","0","1","0","0","0.9090909090909091","3.916","6","0",""
"","","0","0","1","0","0","0.9090909090909091","3.594","7","0",""
"","","0","0","0","1","0","0.9090909090909091","16.697","8","0",""
"","","0","0","0","0.5","0.5","1.4090909090909092","6.463","9","0.5",""
"","","0","0","0","0.5","0.5","1.9090909090909092","3.914","10","0.5",""
"","1607115035927_problem_4_1","0.2","0.2","0.2","0.2","0.2","0.2","33.229","1","0.2",""
"","","0","0","0","1","0","1.2","13.788","2","1",""
"","","0","0","0","1","0","2.2","4.22","3","1",""
"","","0","0","0","1","0","3.2","3.756","4","1",""
"","","0","0","0","1","0","4.2","3.527","5","1",""
"","1607115035927_tutorial","0.25806451612903225","0.25806451612903225","0.16129032258064516","0.16129032258064516","0.16129032258064516","0.25806451612903225","0","1","0.25806451612903225",""
"","","0.391304347826087","0.391304347826087","0.21739130434782608","0","0","0.6493688639551192","0","2","0.391304347826087",""
"","","0.391304347826087","0.391304347826087","0.21739130434782608","0","0","1.040673211781206","0","3","0.391304347826087",""
"","","0.391304347826087","0.391304347826087","0.21739130434782608","0","0","1.431977559607293","0","4","0.391304347826087",""
"","","0.5","0.5","0","0","0","1.931977559607293","0","5","0.5",""
"","","0.5","0.5","0","0","0","2.431977559607293","0","6","0.5",""
"","","1","0","0","0","0","3.431977559607293","0","7","1",""
"","1607115037759_problem_1_2","0.2","0.2","0.2","0.2","0.2","0.2","6.661","1","0.2",""
"","","1","0","0","0","0","0.2","32.301","2","0",""
"","","1","0","0","0","0","0.2","11.311","3","0",""
"","","1","0","0","0","0","0.2","3.986","4","0",""
"","","1","0","0","0","0","0.2","4.2","5","0",""
"","","1","0","0","0","0","0.2","3.879","6","0",""
"","","0","1","0","0","0","1.2","10.18","7","1",""
"","1607115037759_problem_3_3","0.2","0.2","0.2","0.2","0.2","0.2","4.723","1","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","0.4","14.611","2","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","0.6000000000000001","11.592","3","0.2",""
"","","0","0","0","0","1","1.6","26.242","4","1",""
"","","0","0","0","0.9090909090909091","0.09090909090909091","1.690909090909091","16.183","5","0.09090909090909091",""
"","","0","0","0","0","1","2.690909090909091","6.904","6","1",""
"","","0","0","0","0","1","3.690909090909091","5.284","7","1",""
"","","0","0","0","0","1","4.690909090909091","4.965","8","1",""
"","","0","0","0","0","1","5.690909090909091","4.442","9","1",""
