Timestep,Probs
1,"[0.2, 0.2, 0.2, 0.2, 0.2]"
2,"[0.25316455695806306, 1.490644550539233e-11, 0.24050632911090522, 0.25316455695806306, 0.25316455695806306]"
3,"[0.25316455696202544, 1.1699719199693412e-19, 0.24050632911392417, 0.25316455696202544, 0.25316455696202544]"
4,"[0.3448275860672213, 4.6939822338572675e-31, 0.3103448274797876, 3.8576852922207713e-10, 0.3448275860672213]"
5,"[0.34482758620689713, 5.2375157097291755e-40, 0.3103448275862074, 1.5579689236106464e-16, 0.34482758620689713]"
6,"[7.673301367918696e-6, 4.7062782331641137e-51, 1.913011421364783e-8, 5.054500468126116e-25, 0.9999923075685179]"
7,"[6.9425134239961126e-6, 3.1196244957836464e-16, 3.6539544336821456e-7, 1.0121757434022534e-9, 0.9999926910789563]"
