Timestep,Probs
1,"[0.2, 0.2, 0.2, 0.2, 0.2]"
2,"[0.33898305070571133, 0.32203389818938727, 0.33898305070571133, 3.7923007956929216e-10, 1.995947787206812e-11]"
3,"[0.34482671942044585, 0.32758538344942356, 0.3275878971301308, 4.3156925412029347e-19, 3.3473515555036785e-20]"
4,"[0.5128205075100425, 1.0355412031385672e-8, 0.48717948213454454, 1.9889898286585588e-30, 1.5192182114509773e-31]"
5,"[0.5128205128204723, 7.946080937546271e-14, 0.4871794871794486, 1.1711263675669925e-40, 1.666996950048528e-44]"
6,"[4.25116738650627e-7, 5.0545372010545e-25, 0.9999995748832621, 5.716336262394802e-57, 1.2084425308428821e-60]"
7,"[7.993083105598963e-8, 6.133380733418691e-13, 0.9999999200685538, 1.6989974330800126e-15, 4.706364080554037e-18]"
