Timestep,Probs
1,"[0.20000000000000015, 0.20000000000000015, 0.20000000000000015, 0.20000000000000015, 0.20000000000000015]"
2,"[0.013201321412470976, 2.684793490098844e-9, 0.33003300152838116, 0.33003300152838116, 0.32673267284597224]"
3,"[0.005237444292048114, 4.1312579211634926e-19, 0.5078122793720796, 0.32460858461540315, 0.16234169172047058]"
4,"[0.01075268863122735, 4.182874225456139e-25, 0.010752689100376913, 0.6559139720047278, 0.32258065026366955]"
5,"[6.871543092422487e-7, 8.218532380896942e-7, 8.21973003908206e-7, 0.9105608649815056, 0.0894368040379465]"
6,"[0.0009227092667197402, 0.24681827209625676, 6.312472079790917e-7, 0.09425997731403413, 0.6579984100757806]"
7,"[0.00010741375445500363, 0.9995459590334334, 2.0622093412763203e-10, 0.0001879612443830047, 0.00015866576150639752]"
8,"[0.004410050414821442, 0.4930678122653214, 1.2461691835150827e-8, 0.5025188756310575, 3.2492271078034763e-6]"
9,"[1.6422925873791574e-7, 0.9998031575180184, 1.1598137173641323e-13, 0.00019667821668088113, 3.592370382467165e-11]"
10,"[1.8629449725758523e-16, 0.9999999999999939, 8.610544465415458e-28, 4.654178252004592e-17, 3.108489515227777e-25]"
11,"[1.1124311309161907e-21, 0.9999999999999988, 5.069928168001146e-38, 1.1191885368788992e-22, 3.4488164345369865e-34]"
12,"[7.074354975846459e-22, 0.9999999999999988, 1.0776561220130414e-45, 5.8546213928143156e-24, 3.8903386033430715e-43]"
13,"[1.338853410555e-20, 0.9999999999999962, 1.571156323098652e-49, 8.535677785122869e-28, 1.571156323970574e-49]"
14,"[1.5449563000264077e-25, 0.9999999999999964, 9.251040664719567e-60, 1.8143305225588224e-35, 9.251040668229091e-60]"
15,"[2.9302955676245837e-24, 0.9999999999999962, 3.7361352126392946e-66, 2.6451822749588926e-39, 1.3487448122743646e-63]"
16,"[5.567049428684941e-23, 1.0000000000000075, 1.5088795747674286e-72, 1.0682861510793412e-45, 5.447055266976485e-70]"
17,"[5.567049428684941e-23, 1.0000000000000075, 2.1998535861895792e-76, 5.622558689891061e-47, 2.8668711931454087e-71]"
18,"[5.567049428685046e-23, 1.0000000000000075, 1.1578176769419064e-77, 2.9592414157321946e-48, 1.5088795753397204e-72]"
19,"[5.567049428685046e-23, 1.0000000000000075, 6.093777247062786e-79, 1.5574954819643434e-49, 7.941471449156578e-74]"
20,"[5.567049428685046e-23, 1.0000000000000075, 8.884352306550226e-83, 6.290117971714415e-56, 3.2072511838812245e-80]"
21,"[5.567049428685046e-23, 1.0000000000000075, 9.939180218953585e-92, 2.5403337959081285e-62, 1.295283905805607e-86]"
22,"[5.567049428685046e-23, 1.0000000000000075, 1.111924651524734e-100, 1.0259419336255273e-68, 5.2311474856441024e-93]"
23,"[5.567049428685046e-23, 1.0000000000000075, 1.2439420590347524e-109, 3.1793648803063948e-80, 1.6211177313696396e-104]"
24,"[1.5421189553143906e-25, 1.0000000000000075, 1.3916337263625158e-118, 9.852761360874868e-92, 1.391633726890532e-118]"
25,"[1.1833234515652404e-30, 1.0000000000000075, 4.312633347787611e-130, 3.053342730041634e-103, 3.3092389940406915e-135]"
