goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,reward_score,user_id
0.2,0.2,0.2,0.2,0.2,0.2,0.84,0.2,1607115018235
0.2,0.2,0.2,0.2,0.2,0.2,10.02,0.2,1607115052292
0.2,0.2,0.2,0.2,0.2,0.2,3.07,0.2,1607115535126
0.2,0.2,0.2,0.2,0.2,0.2,4.76,0.2,1607115873532
0.2,0.2,0.2,0.2,0.2,0.2,9.85,0.2,1607116920161
0.2,0.2,0.2,0.2,0.2,0.2,3.95,0.2,1607117830583
0.19,0.23,0.19,0.19,0.19,0.19,10.17,0.19,1607118686541
0.2,0.2,0.2,0.2,0.2,0.2,9.06,0.2,1607120276372
0.16,0.16,0.2,0.24,0.24,0.24,17.87,0.24,1607122781893
