goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,reward_score,user_id
0.2,0.2,0.2,0.2,0.2,0.2,0.03,0.4,1607115018235
0.05,0.05,0.05,0.42,0.42,0.42,12.63,0.62,1607115052292
0,0,0,0.5,0.5,0.5,10.09,0.7,1607115535126
0,0,0,0.5,0.5,0.5,9.25,0.7,1607115873532
0,0,0,0.5,0.5,0.5,13.39,0.7,1607116920161
0.15,0.15,0.15,0.27,0.27,0.27,8.82,0.47,1607117830583
0,0,0,1,0,1,13.1,1.19,1607118686541
0,0,0.14,0.43,0.43,0.43,16.58,0.63,1607120276372
0.14,0.14,0.17,0.28,0.28,0.28,11.4,0.52,1607122781893
