goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,reward_score,user_id
0.18,0.18,0.18,0.29,0.18,0.18,12.99,0.94,1607115046520
0.09,0.09,0,0.82,0,0.09,9.59,0.67,1607115097420
0,0,0,1,0,0,8.15,0.53,1607115486517
0.2,0.2,0.2,0.2,0.2,0.2,4.44,1,1607115775262
0.77,0.08,0,0.15,0,0.77,15.22,1.46,1607116335649
0.26,0.19,0.19,0.19,0.19,0.26,30.08,1.03,1607116558958
0.23,0.14,0.26,0.14,0.23,0.23,11.87,0.93,1607117492816
0.23,0.23,0.38,0.08,0.08,0.23,8.06,1.08,1607118182890
0.15,0.19,0.38,0.15,0.12,0.15,16.08,0.91,1607121550937
0.15,0.15,0.3,0.24,0.15,0.15,25.9,0.88,1607126650608
