goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,reward_score,user_id
1,0,0,0,0,1,4.99,3.64,1607115046520
1,0,0,0,0,1,3.68,2.85,1607115097420
1,0,0,0,0,1,3.54,2.73,1607115486517
1,0,0,0,0,1,15.79,2.6,1607115775262
1,0,0,0,0,1,8.0,4.14,1607116335649
1,0,0,0,0,1,3.91,3.6,1607116558958
0.27,0.14,0.24,0.14,0.22,0.27,6.46,1.89,1607117492816
0.59,0.18,0.12,0.06,0.06,0.59,4.49,2.83,1607118182890
1,0,0,0,0,1,5.54,2.66,1607121550937
0.33,0.17,0.17,0.17,0.17,0.33,13.47,1.67,1607126650608
