goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,reward_score,user_id
0.18,0.18,0.18,0.29,0.18,0.18,23.91,0.58,1607115046520
0.09,0.09,0,0.82,0,0.09,15.33,0.49,1607115097420
0,0,0,1,0,0,11.67,0.53,1607115486517
0.2,0.2,0.2,0.2,0.2,0.2,4.01,0.6,1607115775262
0.17,0.17,0.31,0.17,0.17,0.17,92.99,0.52,1607116335649
0.2,0.2,0.2,0.2,0.2,0.2,12.55,0.57,1607116558958
0.17,0.17,0.31,0.17,0.17,0.17,8.97,0.54,1607117492816
0.23,0.23,0.38,0.08,0.08,0.23,6.37,0.62,1607118182890
0.18,0.21,0.25,0.18,0.18,0.18,5.73,0.58,1607121550937
0.17,0.17,0.33,0.17,0.17,0.17,10.23,0.57,1607126650608
