goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,reward_score,user_id
0.18,0.18,0.18,0.29,0.18,0.18,5.19,1.11,1607115046520
0.09,0.09,0,0.82,0,0.09,8.1,0.76,1607115097420
0,0,0,1,0,0,5.61,0.53,1607115486517
0.2,0.2,0.2,0.2,0.2,0.2,4.28,1.2,1607115775262
0.77,0.08,0,0.15,0,0.77,6.88,2.23,1607116335649
0.26,0.19,0.19,0.19,0.19,0.26,9.22,1.29,1607116558958
0.23,0.14,0.26,0.14,0.23,0.23,5.48,1.16,1607117492816
0.23,0.23,0.38,0.08,0.08,0.23,4.77,1.31,1607118182890
0.15,0.19,0.38,0.15,0.12,0.15,6.47,1.06,1607121550937
0.15,0.15,0.3,0.24,0.15,0.15,5.77,1.04,1607126650608
