goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,reward_score,user_id
0,0,0,1,0,0,15.05,0.91,1607115035927
0.23,0.06,0.2,0.26,0.26,0.26,7.4,1.06,1607115177638
1,0,0,0,0,0,22.24,0.6,1607115376410
0.05,0.05,0.05,0.43,0.43,0.43,26.45,1.03,1607115664898
0.28,0.21,0.17,0.17,0.17,0.17,10.34,0.91,1607116125693
0.5,0,0,0,0.5,0.5,31.59,1.19,1607118786567
0.08,0.16,0.36,0.28,0.12,0.12,15.06,0.5,1607120613621
0,0.29,0.47,0.24,0,0,19.4,1.33,1607123074097
