goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,reward_score,user_id
0.2,0.2,0.2,0.2,0.2,0.2,11.33,0.4,1607115046520
0.2,0.2,0.2,0.2,0.2,0.2,11.93,0.4,1607115097420
0.33,0,0,0.33,0.33,0.33,13.42,0.53,1607115486517
0.2,0.2,0.2,0.2,0.2,0.2,4.08,0.4,1607115775262
0.17,0.17,0.31,0.17,0.17,0.17,17.23,0.34,1607116335649
0.17,0.17,0.31,0.17,0.17,0.17,12.85,0.37,1607116558958
0.17,0.17,0.31,0.17,0.17,0.17,11.97,0.37,1607117492816
0.2,0.2,0.47,0.07,0.07,0.2,21.42,0.39,1607118182890
0.2,0.2,0.2,0.2,0.2,0.2,7.28,0.4,1607121550937
0.2,0.2,0.2,0.2,0.2,0.2,5.53,0.4,1607126650608
