goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,reward_score,user_id
0.2,0.2,0.2,0.2,0.2,0.2,3.95,1,1607114805281
0,0.06,0.06,0.56,0.31,0.56,13.71,2.05,1607115041322
0.2,0.2,0.2,0.2,0.2,0.2,6.72,1,1607115047337
0.19,0.29,0.23,0.13,0.16,0.13,6.32,0.7,1607115116358
0.21,0.21,0.15,0.23,0.21,0.23,9.21,1.03,1607115323722
0.29,0.03,0.21,0.26,0.21,0.26,4.64,0.97,1607115408614
0.16,0.14,0.22,0.24,0.24,0.24,50.25,1.06,1607115480159
0.23,0.23,0.23,0.16,0.16,0.16,11.58,0.96,1607115756133
0.14,0.2,0.2,0.26,0.2,0.26,9.54,1.21,1607115854486
0.15,0.21,0.21,0.29,0.15,0.29,28.74,1.3,1607116319376
0.2,0.2,0.2,0.2,0.2,0.2,16.49,0.6,1607116360089
0.27,0.23,0.19,0.23,0.08,0.23,10.69,1.03,1607116556585
0.2,0.2,0.2,0.2,0.2,0.2,0.31,1,1607116912260
0.2,0.2,0.2,0.2,0.2,0.2,1.22,1,1607117474340
0.2,0.2,0.2,0.2,0.2,0.2,3.55,1,1607118085484
0.15,0.38,0.38,0,0.08,0,9.12,0.65,1607118666465
0.21,0.19,0.21,0.19,0.21,0.19,0.21,0.93,1607121165107
0.18,0.18,0.21,0.21,0.21,0.21,14.58,1.06,1607125963924
0.2,0.2,0.2,0.2,0.2,0.2,5.63,1,1607129901627
