goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,reward_score,user_id
1,0,0,0,0,1,8.02,2.64,1607115046520
1,0,0,0,0,1,9.11,1.85,1607115097420
1,0,0,0,0,1,10.06,1.73,1607115486517
0.2,0.2,0.2,0.2,0.2,0.2,6.76,1.6,1607115775262
0.91,0.09,0,0,0,0.91,17.04,3.14,1607116335649
1,0,0,0,0,1,9.96,2.6,1607116558958
0.23,0.14,0.26,0.14,0.23,0.23,9.86,1.62,1607117492816
0.53,0.2,0.13,0.07,0.07,0.53,7.6,2.24,1607118182890
0.45,0,0.18,0.18,0.18,0.45,8.36,1.66,1607121550937
0.15,0.15,0.3,0.24,0.15,0.15,10.65,1.34,1607126650608
