goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,reward_score,user_id
0,0,0,0,1,1,26.24,1.6,1607115037759
0.25,0.25,0.25,0.25,0,0,19.27,0.6,1607115069598
0.15,0.15,0.08,0.62,0,0,13.05,0,1607115201867
0,0,0,0,1,1,8.74,1.87,1607115406142
0.08,0.08,0.08,0.17,0.58,0.58,12.09,1.23,1607115665561
0,0,0,0,1,1,9.89,1.6,1607116491165
0.17,0.2,0.2,0.22,0.22,0.22,0.94,0.88,1607117440250
0.21,0.26,0.18,0.15,0.21,0.21,12.49,0.92,1607118854103
0,0,0,0.5,0.5,0.5,6.75,1.4,1607124046234
