goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,reward_score,user_id
0,0,0,0,1,1,6.9,2.69,1607115037759
0,0,0,0,1,1,14.39,1.6,1607115069598
0,0,0,0.5,0.5,0.5,10.56,0.5,1607115201867
0,0,0,0,1,1,3.63,3.87,1607115406142
0.08,0.08,0.08,0.17,0.58,0.58,3.62,2.39,1607115665561
0,0,0,0,1,1,4.32,3.6,1607116491165
0.17,0.2,0.2,0.22,0.22,0.22,0.94,1.32,1607117440250
0.06,0.28,0.22,0.22,0.22,0.22,3.74,1.38,1607118854103
0,0,0,0,1,1,13.91,2.9,1607124046234
