goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,reward_score,user_id
0.2,0.2,0.2,0.2,0.2,0.2,4.44,1.7,1607114805281
0,1,0,0,0,1,4.11,5.03,1607115041322
0.13,0.07,0.07,0.4,0.33,0.07,3.49,1.47,1607115408614
0.56,0.44,0,0,0,0.44,4.31,3.84,1607115756133
0.5,0.5,0,0,0,0.5,9.44,3.94,1607116319376
0.25,0.75,0,0,0,0.75,5.27,4.9,1607116556585
0.2,0.2,0.2,0.2,0.2,0.2,5.2,2.0,1607117474340
0,0.38,0.21,0.21,0.21,0.38,3.64,3.05,1607118085484
0.21,0.14,0.21,0.21,0.21,0.14,4.52,1.71,1607121165107
0.23,0.17,0.23,0.2,0.17,0.17,16.93,1.71,1607125963924
