goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,reward_score,user_id
0.2,0.2,0.2,0.2,0.2,0.2,3.93,1,1607115047337
0.19,0.11,0.15,0.19,0.37,0.37,27.07,1.53,1607115116358
0.17,0.23,0.2,0.15,0.25,0.25,7.53,1.11,1607115323722
0.17,0.1,0.13,0.27,0.33,0.33,6.12,1.39,1607115480159
0.12,0.12,0.12,0.12,0.53,0.53,13.39,1.46,1607115854486
0.19,0,0.19,0,0.62,0.62,19.61,1.4,1607116360089
0.09,0.18,0.21,0.26,0.26,0.26,2.61,1.32,1607116912260
0,0,0,0,1,1,5.7,3.33,1607118666465
0.33,0,0.33,0.33,0,0,7.93,0.6,1607129901627
