goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,timestep
0.1957,0.1957,0.2157,0.1957,0.1957,0.1957,10.5743,1
0.1914,0.1914,0.2086,0.2086,0.2014,0.1914,8.6629,2
0.1671,0.1929,0.1929,0.23,0.2186,0.1929,12.9214,3
0.3014,0.3471,0.1029,0.12,0.13,0.3471,11.8614,4
0.1843,0.2843,0.1557,0.1957,0.1829,0.2843,16.2714,5
0.2486,0.3486,0.1314,0.1314,0.1414,0.3486,14.3586,6
0.2043,0.4357,0.0657,0.1129,0.1843,0.4357,9.9129,7
0.2343,0.4771,0.0686,0.1157,0.1057,0.4771,9.8743,8
0.2343,0.4771,0.0686,0.1157,0.1057,0.4771,5.0443,9
0.2343,0.4771,0.0686,0.1157,0.1057,0.4771,4.9571,10
0.3043,0.5814,0.01,0.0571,0.0471,0.5814,7.0071,11
0.4029,0.5671,0.0071,0.0157,0.0071,0.5671,6.5657,12
0.34,0.63,0.0071,0.0157,0.0071,0.63,5.7529,13
