goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,reward_score,user_id
0,0,0,0,1,1,5.17,4,1607115047337
0.19,0.11,0.15,0.19,0.37,0.37,5.7,2.64,1607115116358
0.17,0.23,0.2,0.15,0.25,0.25,3.99,1.86,1607115323722
0.15,0.09,0.24,0.24,0.29,0.29,8.01,1.99,1607115480159
0,0,0,0,1,1,5.73,3.78,1607115854486
0,0,0,0,1,1,4.12,4.4,1607116360089
0.09,0.18,0.21,0.26,0.26,0.26,1.28,2.12,1607116912260
0,0,0,0,1,1,4.76,6.33,1607118666465
0,0,0,0,1,1,5.61,2.6,1607129901627
