goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,reward_score,user_id
0.5,0,0,0,0.5,0,16.9,1.1,1607114805281
0.04,0.36,0.18,0.18,0.25,0.36,6.46,2.03,1607115041322
0.13,0.07,0.07,0.4,0.33,0.07,13.83,1.27,1607115408614
0.56,0.44,0,0,0,0.44,9.7,2.51,1607115756133
0,1,0,0,0,1,9.98,2.44,1607116319376
0.2,0.8,0,0,0,0.8,7.32,2.65,1607116556585
0.2,0.2,0.2,0.2,0.2,0.2,4.4,1.4,1607117474340
0,0.38,0.21,0.21,0.21,0.38,5.2,1.93,1607118085484
0.21,0.14,0.21,0.21,0.21,0.14,4.91,1.29,1607121165107
0.23,0.17,0.23,0.2,0.17,0.17,9.69,1.2,1607125963924
