goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,reward_score,user_id
0,0,1,0,0,0,3.59,0.91,1607115035927
0.17,0.17,0.31,0.17,0.17,0.17,11.7,1.37,1607115070015
0.42,0.08,0.04,0.08,0.38,0.38,7.14,2.19,1607115177638
0,0,1,0,0,0,15.64,0.6,1607115376410
0.05,0.05,0.05,0.43,0.43,0.43,4.76,2.31,1607115664898
0.13,0.13,0.43,0.17,0.13,0.13,13.05,1.43,1607116125693
0.23,0.19,0.26,0.16,0.16,0.16,2.9,1.17,1607116510666
0.19,0.19,0.21,0.19,0.21,0.21,1.56,1.49,1607117172687
0.26,0.26,0.16,0.16,0.16,0.16,10.59,1.36,1607117907163
0.2,0.2,0.2,0.2,0.2,0.2,10.11,1.89,1607118786567
0.14,0.21,0.43,0.21,0,0,15.43,0.82,1607120613621
0,0,1,0,0,0,7.49,1.33,1607123074097
