goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,reward_score,user_id
0.2,0.2,0.2,0.2,0.2,0.2,7.73,0.8,1607115047337
0.19,0.12,0.15,0.19,0.35,0.35,32.49,1.16,1607115116358
0.17,0.22,0.24,0.15,0.22,0.22,10.67,0.86,1607115323722
0.14,0.1,0.14,0.28,0.34,0.34,10.37,1.06,1607115480159
0.12,0.29,0.12,0.18,0.29,0.29,18.53,0.94,1607115854486
0.18,0.18,0.29,0.18,0.18,0.18,11.28,0.77,1607116360089
0.09,0.18,0.21,0.26,0.26,0.26,4.89,1.06,1607116912260
0,0,0,0,1,1,22.25,2.33,1607118666465
0.33,0,0.33,0.33,0,0,35.12,0.6,1607129901627
