goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,reward_score,user_id
0.2,0.2,0.2,0.2,0.2,0.2,10.32,0.6,1607115047337
0.19,0.11,0.3,0.19,0.22,0.22,24.08,0.82,1607115116358
0.18,0.24,0.18,0.16,0.24,0.24,12.71,0.64,1607115323722
0.14,0.11,0.14,0.25,0.36,0.36,10.99,0.71,1607115480159
0.16,0.19,0.19,0.26,0.19,0.19,13.45,0.64,1607115854486
0.19,0.19,0.23,0.19,0.19,0.19,18.01,0.59,1607116360089
0.09,0.18,0.21,0.26,0.26,0.26,5.05,0.79,1607116912260
0.1,0.2,0,0,0.7,0.7,32.5,1.33,1607118666465
0.2,0.2,0.2,0.2,0.2,0.2,17.18,0.6,1607129901627
