goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,timestep
0.15,0.1767,0.2583,0.2017,0.2183,0.1767,15.495,1
0.25,0.2567,0.2867,0.0833,0.1217,0.2567,20.935,2
0.3133,0.34,0.08,0.1333,0.1333,0.34,14.7633,3
0.3717,0.3933,0.075,0.0967,0.0617,0.3933,15.925,4
0.38,0.405,0.0533,0.0867,0.075,0.405,12.29,5
0.3533,0.6067,0.015,0.015,0.0067,0.6067,9.1617,6
0.2767,0.7233,0.0,0.0,0.0,0.7233,7.315,7
0.1667,0.8333,0.0,0.0,0.0,0.8333,5.2933,8
