goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,reward_score,user_id
0,0,1,0,0,1,4.83,2,1607115035927
0.15,0.27,0.27,0.15,0.15,0.27,12.22,0.82,1607115070015
0.06,0,0.62,0.25,0.06,0.62,9.97,1.92,1607115177638
0,0,1,0,0,1,15.91,1.25,1607115376410
0.11,0.56,0.11,0.11,0.11,0.11,9.69,0.53,1607115664898
0.11,0.18,0.36,0.18,0.18,0.36,15.26,0.91,1607116125693
0.22,0.22,0.19,0.19,0.19,0.19,15.53,0.77,1607116510666
0.2,0.2,0.2,0.22,0.2,0.2,4.22,0.78,1607117172687
0.2,0.2,0.2,0.2,0.2,0.2,1.49,0.8,1607117907163
0,0.33,0.33,0,0.33,0.33,31.49,0.53,1607118786567
0.06,0.12,0.53,0.12,0.18,0.53,24.62,1.02,1607120613621
0,0,1,0,0,1,4.47,2.39,1607123074097
