goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,reward_score,user_id
1,0,0,0,0,1,23.22,4.64,1607115046520
1,0,0,0,0,1,3.78,3.85,1607115097420
1,0,0,0,0,1,4.9,3.73,1607115486517
1,0,0,0,0,1,4.72,3.6,1607115775262
1,0,0,0,0,1,1.89,5.14,1607116335649
1,0,0,0,0,1,7.16,4.6,1607116558958
0.27,0.14,0.24,0.14,0.22,0.27,4.45,2.16,1607117492816
0.83,0,0,0.08,0.08,0.83,4.11,3.66,1607118182890
1,0,0,0,0,1,4.09,3.66,1607121550937
0.33,0.17,0.17,0.17,0.17,0.33,4.04,2.01,1607126650608
