goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,timestep
0.2082,0.2,0.2182,0.1936,0.1818,0.1936,14.9045,1
0.1927,0.1918,0.1918,0.2264,0.2027,0.2264,11.0436,2
0.1773,0.1736,0.1791,0.2145,0.2591,0.2145,10.7409,3
0.1818,0.18,0.1845,0.2064,0.2473,0.2064,10.7827,4
0.1845,0.1945,0.2073,0.2327,0.1809,0.2327,10.6945,5
0.1782,0.1818,0.1973,0.2673,0.1764,0.2673,7.2991,6
0.1009,0.0618,0.0782,0.6873,0.0736,0.6873,12.9773,7
0.0755,0.03,0.0591,0.81,0.0255,0.81,7.5564,8
0.02,0.0136,0.0136,0.9391,0.0136,0.9391,6.8282,9
0.0064,0.0064,0.0064,0.9736,0.0064,0.9736,5.03,10
