goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,timestep
0.1943,0.1943,0.2243,0.1943,0.1943,0.1943,8.5386,1
0.2143,0.1671,0.2257,0.1957,0.1957,0.2143,12.3843,2
0.15,0.1543,0.1886,0.3914,0.1157,0.15,22.8586,3
0.15,0.1543,0.1886,0.3914,0.1157,0.15,7.6257,4
0.2314,0.1386,0.1629,0.3843,0.0829,0.2314,10.6471,5
0.2314,0.1386,0.1629,0.3843,0.0829,0.2314,5.9,6
0.2229,0.1271,0.2829,0.2486,0.1243,0.2229,12.65,7
0.7271,0.07,0.0729,0.0643,0.0643,0.7271,9.5643,8
0.9414,0.0257,0.0171,0.0086,0.0086,0.9414,6.5757,9
0.9757,0.0,0.0,0.0114,0.0114,0.9757,6.6729,10
