,reward_score,min_time,default,tutorial_final_prob,flag
1607118747929,1.2229435234752235,4.096,False,1.0,False
1607116558958,1.2104334765886344,3.808,False,0.5555555555555556,True
1607116125693,0.8720301753884961,4.096,False,0.6666666666666666,True
1607115201867,1.498015873015873,3.732,False,0.7142857142857143,False
1607125963924,0.5661657861121189,6.64,False,0.1891891891891892,True
1607120613621,0.9026679401796509,4.647,False,1.0,False
1607116484782,1.2108333333333334,3.303,False,0.5,True
1607115985491,1.4456629019129017,3.839,False,1.0,False
1607115047337,1.62,3.596,False,0.5294117647058824,True
1607115480159,0.7436077773929187,0.893,False,0.23333333333333334,True
1607115070015,0.8184456593787223,3.102,False,0.6666666666666666,True
1607117492816,0.6719730810657585,4.45,False,0.4,True
1607115116358,0.7925851282775642,3.736,False,0.0,True
1607115552593,0.5983103799770467,3.267,False,0.3333333333333333,True
1607115052292,1.3473122461325728,5.388,False,1.0,False
1607124046234,1.9071256038647344,4.35,False,0.5263157894736842,True
1607118786567,0.7022877846790889,10.111,False,1.0,False
1607117474340,0.6740507944068315,0.301,True,0.32142857142857145,True
1607116912260,0.6551820728291317,0.254,True,0.24390243902439024,True
1607115176545,1.352284554777749,1.035,False,1.0,True
1607116335649,1.4732662165420787,1.893,False,0.3225806451612903,True
1607118686541,1.6974918394777267,5.007,False,0.3125,True
1607115323722,0.700505826009677,1.534,False,0.37037037037037035,True
1607115408614,0.9526822610510691,3.487,False,0.8333333333333334,False
1607115069598,1.5003968253968254,4.122,False,1.0,False
1607116491165,1.7752229839304143,3.15,False,0.625,True
1607115097420,1.152121212121212,3.679,False,1.0,False
1607120548427,0.6188888888888888,1.461,True,0.2222222222222222,True
1607114805281,1.0661538461538462,3.72,False,1.0,False
1607120276372,1.4475063470364222,5.927,False,1.0,False
1607126650608,0.6735824644292386,4.04,False,0.20930232558139536,True
1607115041322,1.5388489035356043,3.795,False,1.0,False
1607117907163,0.6128548070698885,0.828,False,0.3225806451612903,True
1607122781893,1.2531307277200403,5.85,False,1.0,False
1607116556585,1.402680097680098,4.204,False,0.2,True
1607121550937,1.197100684403316,2.293,False,0.6666666666666666,True
1607118854103,0.6631890778861853,3.739,False,0.32142857142857145,True
1607118182890,1.1032211688094042,4.111,False,1.0,False
1607115775262,1.21,4.006,False,0.5882352941176471,True
1607115018235,0.6,0.008,True,0.2,True
1607115406142,1.8951058201058204,2.64,False,1.0,False
1607117862378,0.9275088605351762,3.634,False,1.0,False
1607117830583,0.9408449992836051,1.194,False,0.38461538461538464,True
1607115376410,1.0499999999999998,4.011,False,1.0,False
1607117440250,0.6560201316298877,0.844,False,0.20833333333333334,True
1607116920161,1.2637145255211222,4.625,False,1.0,False
1607115873532,1.082570267896355,3.379,False,0.2857142857142857,True
1607118666465,1.8551475279106857,4.069,False,1.0,False
1607115046520,1.481207887696091,4.388,False,0.9090909090909091,False
1607115037759,1.478751803751804,3.879,False,1.0,False
1607121165107,0.5748344154534047,0.201,False,0.22857142857142856,True
1607115665561,1.6370667925289772,3.615,False,1.0,False
1607115035927,1.6309090909090909,3.527,False,1.0,False
1607115535126,1.3583450046685341,3.068,False,1.0,False
1607116319376,1.3341224254662154,4.392,False,1.0,False
1607115664898,0.9609318751424014,4.696,False,0.2,True
1607115854486,1.5193026778809384,5.484,False,1.0,False
1607115177638,1.0921776214730374,3.751,False,1.0,False
1607123074097,1.6135326953748006,3.869,False,1.0,False
1607115756133,1.2727180257850388,3.952,False,0.5,True
1607118085484,1.1141758241758244,3.255,False,1.0,False
1607129901627,1.3116666666666665,4.664,False,0.5,True
1607117172687,0.622173622952035,0.546,False,0.2,True
1607115360280,0.8583267195767196,4.424,False,0.2,True
1607116510666,0.5508681396570718,2.896,False,0.23809523809523808,True
1607115486517,1.54,3.536,False,0.5,True
1607116360089,1.60448489010989,4.663,False,0.6666666666666666,True
