goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,reward_score,user_id
0.5,0,0.5,0,0,0.5,14.95,0.98,1607115046520
1,0,0,0,0,0,4.05,0.2,1607115097420
0,0,1,0,0,1,8.15,1.53,1607115486517
0.5,0,0.5,0,0,0.5,11.59,1.03,1607115775262
0,0.09,0.91,0,0,0.91,13.27,1.2,1607116335649
0.42,0.21,0.38,0,0,0.38,12.8,0.74,1607116558958
0.26,0.21,0.26,0.13,0.13,0.26,7.9,0.7,1607117492816
0.07,0.07,0.71,0.07,0.07,0.71,11.89,1.15,1607118182890
0,0,0.91,0.09,0,0.91,8.47,1.2,1607121550937
0.22,0.16,0.31,0.16,0.16,0.31,9.07,0.85,1607126650608
